timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1595637000,Jul 25 2020 - 12:30am,complete,N/A,Necaxa,Tigres UANL,Eduardo Galván Basulto,1,0.00,0.00,1.29,1.47,0,3,3,2,0,2,"","13,39,78",4,6,1,0,1,0,1,0,0,1,7,11,2,6,5,5,14,17,40,60,0.79,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.10,3.30,1.91,1.36,2.15,3.90,7.50,1.95,1.80,Estadio Victoria de Aguascalientes (Aguascalientes)
1595721600,Jul 26 2020 - 12:00am,complete,N/A,Guadalajara,León,Jorge Isaac Rojas Castillo,1,0.00,0.00,1.60,1.50,0,0,0,0,0,0,"","",0,5,1,0,1,0,1,0,0,1,10,15,3,6,7,9,14,13,42,58,1.01,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.35,2.35,1.22,1.71,2.80,5.15,1.59,2.25,Estadio AKRON (Zapopan)
1595728800,Jul 26 2020 - 2:00am,complete,N/A,Cruz Azul,Santos Laguna,Fernando Hernández Gómez,1,0.00,0.00,2.18,0.80,2,0,2,1,1,0,"44,72","",10,4,1,1,2,1,0,2,2,1,18,7,4,0,14,7,15,5,67,33,1.79,0.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.70,3.95,1.21,1.67,2.70,4.90,1.62,2.20,Estadio Olímpico de Universitario (Ciudad de México (D.F.))
1595728800,Jul 26 2020 - 2:00am,complete,N/A,Tijuana,Atlas,César Arturo Ramos Palazuelos,1,0.00,0.00,1.59,1.06,3,1,4,2,1,1,"12,50,90'5","21",1,6,2,0,3,1,0,2,1,3,12,7,4,2,8,5,12,12,56,44,1.38,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.50,4.30,1.32,2.00,3.55,6.95,1.87,1.83,Estadio Caliente (Tijuana)
1595782800,Jul 26 2020 - 5:00pm,complete,N/A,Pumas UNAM,Querétaro,Óscar Mejía García,1,0.00,0.00,1.65,0.17,3,2,5,1,1,0,"44,67,81","61,73",4,4,0,1,0,1,0,1,0,1,11,9,5,7,6,2,16,10,54,46,1.37,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.40,3.50,1.26,1.83,3.15,5.90,1.69,2.05,Estadio Olímpico de Universitario (Ciudad de México (D.F.))
1595890800,Jul 27 2020 - 11:00pm,complete,N/A,Atlético San Luis,Juárez,Saúl Alfredo Silva Pineda,1,0.00,0.00,1.00,0.59,1,1,2,1,1,0,"9","71",2,8,2,0,3,0,1,1,1,2,7,12,4,6,3,6,22,13,39,61,1.13,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.40,5.15,1.32,2.00,3.55,6.85,1.87,1.87,Estadio Alfonso Lastras Ramírez (San Luis Potosí)
1595898000,Jul 28 2020 - 1:00am,complete,N/A,Pachuca,América,Mario Humberto Vargas Mata,1,0.00,0.00,1.43,1.63,1,2,3,0,0,0,"90'7","63,90",4,4,4,1,1,1,2,3,1,1,11,12,4,5,7,7,18,14,52,48,1.26,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.20,2.65,1.25,1.80,3.00,5.60,1.62,2.15,Estadio Hidalgo (Pachuca de Soto)
1595905200,Jul 28 2020 - 3:00am,complete,N/A,Mazatlán,Puebla,Edgar Ulises Rangel Araújo,1,0.00,0.00,1.53,1.33,1,4,5,2,1,1,"36","10,55,89,90'2",8,3,1,0,3,0,0,1,1,2,18,10,2,7,16,3,14,20,61,39,1.65,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio de Mazatlán (Mazatlán)
1595980800,Jul 29 2020 - 12:00am,complete,N/A,Monterrey,Toluca,Alejandro Funk Villafañe,1,0.00,0.00,1.79,0.55,3,1,4,2,2,0,"20,29,85","46",2,2,4,0,2,0,3,1,1,1,21,12,7,6,14,6,11,14,47,53,2.11,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.65,6.65,1.17,1.56,2.40,4.25,1.71,2.05,Estadio BBVA Bancomer (Guadalupe)
1596241800,Aug 01 2020 - 12:30am,complete,N/A,Puebla,Cruz Azul,Oscar Macias Romo,2,0.00,0.00,1.50,1.77,1,1,2,0,0,0,"47","90'1",3,7,1,1,3,0,1,1,0,3,7,18,2,4,5,14,12,14,33,67,0.76,1.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.30,3.30,1.87,1.30,1.95,3.40,6.60,1.69,2.05,Estadio Cuauhtémoc (Puebla)
