timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1374280200,Jul 20 2013 - 12:30am,complete,N/A,Querétaro,Morelia,N/A,1,0.00,0.00,1.61,0.94,1,3,4,1,0,1,"88","28,46,73",10,6,3,0,2,0,2,1,1,1,28,7,9,3,19,4,16,15,53,47,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.81,3.31,2.69,0.00,0.00,0.00,0.00,0.00,0.00,Estadio La Corregidora
1374287400,Jul 20 2013 - 2:30am,complete,N/A,Tijuana,Atlas,N/A,1,0.00,0.00,2.11,1.06,3,3,6,3,2,1,"7,18,64","30,69,84",1,2,2,0,2,0,1,1,1,1,9,6,4,4,5,2,18,17,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.86,3.55,4.75,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Caliente
1374357600,Jul 20 2013 - 10:00pm,complete,N/A,Cruz Azul,Monterrey,N/A,1,0.00,0.00,2.00,1.06,1,0,1,0,0,0,"53","",1,8,0,1,4,0,0,1,1,3,12,12,6,3,6,9,12,14,52,48,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.53,4.05,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azul (Ciudad de México (D.F.))
1374364800,Jul 21 2013 - 12:00am,complete,N/A,Veracruz,Chiapas,N/A,1,0.00,0.00,1.12,1.06,2,2,4,1,0,1,"54,90'2","23,85",3,5,3,0,2,0,0,3,0,2,9,6,4,3,5,3,14,16,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.47,3.73,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Luis de la Fuente
1374368700,Jul 21 2013 - 1:05am,complete,N/A,León,Atlante,N/A,1,0.00,0.00,1.83,0.53,1,0,1,0,0,0,"81","",7,5,2,0,3,1,2,0,3,1,25,10,12,3,13,7,12,14,52,48,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.73,4.62,0.00,0.00,0.00,0.00,0.00,0.00,Estadio León (Nou Camp) (León de los Aldamas)
1374426000,Jul 21 2013 - 5:00pm,complete,N/A,Puebla,Pumas UNAM,N/A,1,0.00,0.00,1.29,1.06,1,1,2,1,0,1,"88","29",9,1,2,0,1,0,2,0,0,1,15,4,7,2,8,2,13,16,51,49,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.29,2.64,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Cuauhtémoc
1374426000,Jul 21 2013 - 5:00pm,complete,N/A,Toluca,Pachuca,N/A,1,0.00,0.00,2.00,1.35,0,1,1,0,0,0,"","79",8,3,1,0,1,0,1,0,0,1,16,10,4,5,12,5,14,13,47,53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.35,3.55,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nemesio Díez
1374885000,Jul 27 2013 - 12:30am,complete,N/A,Morelia,Toluca,N/A,2,0.00,0.00,1.78,1.33,3,4,7,3,2,1,"1,41,76","39,73,80,90",3,5,3,1,1,0,2,2,1,0,10,17,5,10,5,7,8,13,51,49,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.52,4.69,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Generalísimo José María Morelos y Pavón
1374892200,Jul 27 2013 - 2:30am,complete,N/A,Santos Laguna,Cruz Azul,N/A,2,0.00,0.00,2.19,1.58,3,2,5,3,3,0,"4,27,44","71,79",2,9,4,1,1,0,1,4,0,1,6,17,2,8,4,9,17,4,53,47,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.39,3.20,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nuevo Corona
1374969600,Jul 28 2013 - 12:00am,complete,N/A,Monterrey,Puebla,N/A,2,0.00,0.00,1.47,0.88,1,1,2,0,0,0,"90'4","78",14,1,2,0,3,1,0,2,1,3,13,10,7,6,6,4,14,8,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.91,6.41,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Tecnológico (Monterrey)
