timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1500681600,Jul 22 2017 - 12:00am,complete,N/A,Morelia,Monterrey,N/A,1,0.00,0.00,1.50,1.62,0,0,0,0,0,0,"","",7,8,2,0,2,0,1,1,1,1,5,10,4,5,1,5,11,19,49,51,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.43,3.50,2.23,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Generalísimo José María Morelos y Pavón
1500688800,Jul 22 2017 - 2:00am,complete,N/A,Tijuana,Cruz Azul,N/A,1,0.00,0.00,1.84,1.39,0,2,2,1,0,1,"","21,83",4,6,4,0,3,0,1,3,2,1,10,7,2,3,8,4,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.33,3.45,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Caliente
1500760800,Jul 22 2017 - 10:00pm,complete,N/A,Lobos BUAP,Santos Laguna,N/A,1,0.00,0.00,1.06,1.10,2,2,4,4,2,2,"14,32","22,43",5,3,1,0,4,0,0,1,2,2,9,11,4,6,5,5,15,18,60,40,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.23,3.56,2.30,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Universitario BUAP
1500760800,Jul 22 2017 - 10:00pm,complete,N/A,América,Querétaro,N/A,1,0.00,0.00,1.76,1.24,0,1,1,0,0,0,"","87",4,4,0,0,1,0,0,0,0,1,6,6,0,2,6,4,9,12,59,41,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.76,4.85,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azteca
1500768000,Jul 23 2017 - 12:00am,complete,N/A,Tigres UANL,Puebla,N/A,1,0.00,0.00,2.43,0.76,5,0,5,3,3,0,"15,24,29,56,59","",5,2,0,0,3,1,0,0,3,1,11,9,6,0,5,9,6,11,53,47,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.51,8.26,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Universitario de Nuevo León
1500768360,Jul 23 2017 - 12:06am,complete,N/A,León,Atlas,N/A,1,0.00,0.00,1.44,0.83,0,3,3,1,0,1,"","3,61,66",8,1,4,1,1,0,1,4,1,0,8,8,3,5,5,3,16,10,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.79,3.84,4.82,0.00,0.00,0.00,0.00,0.00,0.00,Estadio León (Nou Camp) (León de los Aldamas)
1500775560,Jul 23 2017 - 2:06am,complete,N/A,Guadalajara,Toluca,N/A,1,0.00,0.00,0.59,1.29,0,0,0,0,0,0,"","",6,3,3,0,2,1,1,2,1,2,10,11,5,5,5,6,17,11,51,49,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.32,3.35,3.38,0.00,0.00,0.00,0.00,0.00,0.00,Estadio AKRON
1500829200,Jul 23 2017 - 5:00pm,complete,N/A,Pumas UNAM,Pachuca,N/A,1,0.00,0.00,1.28,0.88,1,0,1,1,1,0,"30","",4,7,0,0,1,0,0,0,0,1,7,3,3,3,4,0,13,11,42,58,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.40,2.89,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico de Universitario
1500853740,Jul 23 2017 - 11:49pm,complete,N/A,Veracruz,Necaxa,N/A,1,0.00,0.00,1.06,1.35,0,2,2,2,0,2,"","12,19",7,1,2,1,1,0,1,2,1,0,11,9,4,6,7,3,10,9,56,44,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,3.27,3.26,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Luis de la Fuente
1501286400,Jul 29 2017 - 12:00am,complete,N/A,Puebla,Morelia,N/A,2,0.00,0.00,1.53,1.40,1,1,2,2,1,1,"9","45'1",8,3,3,0,3,0,1,2,0,3,8,7,2,3,6,4,14,14,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.38,3.40,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Cuauhtémoc
