timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1437784200,Jul 25 2015 - 12:30am,complete,N/A,Veracruz,Guadalajara,N/A,1,0.00,0.00,1.61,1.22,2,0,2,0,0,0,"62,69","",4,4,2,0,1,0,1,1,0,1,12,9,7,7,5,2,13,19,51,49,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.15,3.44,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Luis de la Fuente
1437861600,Jul 25 2015 - 10:00pm,complete,N/A,Cruz Azul,Morelia,N/A,1,0.00,0.00,1.24,1.44,0,3,3,2,0,2,"","35,42,50",8,3,0,0,1,0,0,0,0,1,13,0,7,0,6,0,8,9,50,50,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,3.87,6.20,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azul (Ciudad de México (D.F.))
1437868800,Jul 26 2015 - 12:00am,complete,N/A,Tigres UANL,Toluca,N/A,1,0.00,0.00,1.76,1.47,0,1,1,1,0,1,"","7",4,2,3,0,1,0,1,2,1,0,11,9,5,5,6,4,11,11,63,37,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.42,4.62,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Universitario de Nuevo León
1437872760,Jul 26 2015 - 1:06am,complete,N/A,Pachuca,Tijuana,N/A,1,0.00,0.00,2.00,1.24,2,1,3,1,1,0,"21,77","63",6,2,1,0,2,1,0,1,1,2,15,6,6,2,9,4,5,15,63,37,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.37,3.53,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Hidalgo
1437874200,Jul 26 2015 - 1:30am,complete,N/A,Atlas,Querétaro,N/A,1,0.00,0.00,0.71,0.76,0,2,2,1,0,1,"","10,83",10,2,0,0,0,0,0,0,0,0,22,7,11,4,11,3,16,16,56,44,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.21,3.27,3.67,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jalisco
1437876000,Jul 26 2015 - 2:00am,complete,N/A,Santos Laguna,León,N/A,1,0.00,0.00,1.06,1.20,1,3,4,1,0,1,"80","10,69,77",4,9,2,3,1,0,3,2,1,0,10,16,6,7,4,9,7,14,43,57,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.62,3.49,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nuevo Corona
1437876000,Jul 26 2015 - 2:00am,complete,N/A,Dorados,Chiapas,N/A,1,0.00,0.00,1.29,0.72,0,0,0,0,0,0,"","",6,8,1,0,1,0,1,0,0,1,10,12,6,7,4,5,9,19,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.49,3.21,3.15,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Banorte
1437930000,Jul 26 2015 - 5:00pm,complete,N/A,Pumas UNAM,Monterrey,N/A,1,0.00,0.00,2.00,1.30,3,0,3,3,3,0,"8,23,30","",7,5,1,0,2,0,0,1,1,1,6,13,2,5,4,8,9,16,47,53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.30,2.92,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico de Universitario
1437948000,Jul 26 2015 - 10:00pm,complete,N/A,Puebla,América,N/A,1,0.00,0.00,2.00,1.71,4,2,6,4,3,1,"24,27,41,51","4,65",2,10,3,0,2,0,1,2,1,1,5,14,3,8,2,6,13,13,44,56,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.53,3.35,2.23,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Universitario BUAP
1438389000,Aug 01 2015 - 12:30am,complete,N/A,Querétaro,Pachuca,N/A,2,0.00,0.00,1.65,1.15,1,2,3,2,1,1,"15","45'2,46",7,6,2,0,3,0,0,2,1,2,10,12,4,8,6,4,12,17,47,53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.43,3.20,0.00,0.00,0.00,0.00,0.00,0.00,Estadio La Corregidora
1438396200,Aug 01 2015 - 2:30am,complete,N/A,Tijuana,Dorados,N/A,2,0.00,0.00,0.76,0.41,1,2,3,1,1,0,"23","56,72",9,6,1,0,3,0,1,0,1,2,12,8,4,3,8,5,13,17,53,47,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.13,3.42,3.73,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Caliente
1438466400,Aug 01 2015 - 10:00pm,complete,N/A,América,Atlas,N/A,2,0.00,0.00,1.62,1.12,1,3,4,2,1,1,"40","23,46,90'2",10,2,4,1,3,0,0,5,0,3,22,8,7,3,15,5,14,22,56,44,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.92,6.32,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azteca
