timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1563580800,Jul 20 2019 - 12:00am,complete,N/A,Puebla,Tijuana,Luis Enrique Santander Aguirre,1,0.00,0.00,1.14,0.77,1,3,4,2,1,1,"15","24,78,90'1",7,4,1,0,0,0,0,1,0,0,8,11,5,6,3,5,15,14,56,44,1.25,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.10,2.85,1.47,2.40,4.70,9.50,2.05,1.71,Estadio Cuauhtémoc (Puebla)
1563590700,Jul 20 2019 - 2:45am,complete,N/A,Atlas,Juárez,Jose Alfredo Penaloza Soto,1,0.00,0.00,0.93,0.86,1,0,1,0,0,0,"50","",5,7,3,0,3,0,2,1,1,2,8,9,6,3,2,6,17,14,58,42,1.22,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.55,4.35,1.35,2.10,3.80,7.25,1.95,1.77,Estadio Jalisco (Guadalajara)
1563660000,Jul 20 2019 - 10:00pm,complete,N/A,Atlético San Luis,Pumas UNAM,Diego Montaño Robles,1,0.00,0.00,0.86,0.79,0,2,2,0,0,0,"","79,88",3,5,0,0,3,0,0,0,2,1,7,15,3,7,4,8,12,13,53,47,0.82,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.10,3.00,1.36,2.10,3.85,7.50,1.83,1.91,Estadio Alfonso Lastras Ramírez (San Luis Potosí)
1563660000,Jul 20 2019 - 10:00pm,complete,N/A,Pachuca,León,Adonai Escobedo González,1,0.00,0.00,1.64,1.53,1,3,4,2,0,2,"80","13,38,89",6,2,1,0,1,1,0,1,0,2,21,11,9,6,12,5,16,11,48,52,2.38,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.35,2.70,1.24,1.77,2.95,5.55,1.62,2.15,Estadio Hidalgo (Pachuca de Soto)
1563667500,Jul 21 2019 - 12:05am,complete,N/A,América,Monterrey,César Arturo Ramos Palazuelos,1,0.00,0.00,1.76,0.94,4,2,6,4,2,2,"17,19,49,77","8,31",7,3,2,0,3,0,0,2,0,3,15,10,8,8,7,2,9,14,44,56,1.72,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.40,1.38,2.20,4.10,8.00,1.91,1.80,Estadio Azteca (Ciudad de México (D.F.))
1563674400,Jul 21 2019 - 2:00am,complete,N/A,Tigres UANL,Morelia,Roberto García Orozco,1,0.00,0.00,1.93,1.50,4,2,6,3,3,0,"20,28,34,90'4","46,88",1,2,1,0,0,0,0,1,0,0,15,8,8,4,7,4,13,15,64,36,1.82,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.45,7.75,1.24,1.77,2.95,5.55,2.00,1.74,Estadio Universitario de Nuevo León (San Nicolás de los Garza)
1563674400,Jul 21 2019 - 2:00am,complete,N/A,Necaxa,Cruz Azul,Jorge Antonio Pérez Durán,1,0.00,0.00,1.31,1.21,0,0,0,0,0,0,"","",4,4,2,0,1,1,0,2,0,2,5,11,2,6,3,5,24,16,34,66,0.67,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.15,2.25,1.39,2.20,4.15,8.25,1.91,1.80,Estadio Victoria de Aguascalientes (Aguascalientes)
1563728400,Jul 21 2019 - 5:00pm,complete,N/A,Toluca,Querétaro,Marco Antonio Ortíz Nava,1,0.00,0.00,1.07,1.50,0,2,2,0,0,0,"","65,72",5,5,3,1,0,0,1,3,0,0,10,15,3,10,7,5,16,12,45,55,1.22,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.85,5.65,1.28,1.91,3.25,6.25,1.91,1.83,Estadio Nemesio Díez (Toluca de Lerdo)
1563752700,Jul 21 2019 - 11:45pm,complete,N/A,Santos Laguna,Guadalajara,Jorge Isaac Rojas Castillo,1,0.00,0.00,2.60,1.21,3,0,3,1,1,0,"40,48,78","",6,8,2,0,1,0,0,2,1,0,14,10,6,6,8,4,10,18,49,51,1.53,1.35,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,3.75,1.37,2.15,3.95,7.75,1.95,1.77,Estadio Nuevo Corona (Torreón)
1564185600,Jul 27 2019 - 12:00am,complete,N/A,Morelia,Atlas,Óscar Mejía García,2,0.00,0.00,1.50,1.21,0,1,1,0,0,0,"","74",5,3,3,0,2,0,2,1,2,0,16,3,6,3,10,0,18,24,51,49,1.83,0.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.45,3.25,1.28,1.87,3.20,6.15,1.74,2.00,Estadio Generalísimo José María Morelos y Pavón (Morelia)
